含义,搜狗,手心,百度
4位数的年份,$year,$(year),$(year)
2位数的年份,$year_yy,$(year_yy),$(year_yy)
2位数的月份,$month_mm,$(month_mm),$(month_mm)
不补零的月份,$month,$(month),$(month)
2位数的日,$day_dd,$(day_dd),$(day_dd)
不补零的日,$day,$(day),$(day)
2位数的小时(24小时),$fullhour,$(fullhour),$(fullhour)
2位数的小时(12小时),$halfhour,$(halfhour),$(halfhour)
按当前时间显示AM或者PM,$ampm,$(ampm),$(ampm)
2位数的分钟,$minute,$(minute),$(minute)
2位数的秒,$second,$(second),$(second)
4位中文年份,$year_cn,$(year_cn),$(year_cn)
2位中文年份,$year_yy_cn,$(year_yy_cn),$(year_yy_cn)
中文月份,$month_cn,$(month_cn),$(month_cn)
中文日,$day_cn,$(day_cn),$(day_cn)
中文星期,$weekday_cn,$(week_cn),$(week_cn)
农历年份,,$(year_ln),$(year_ln)
农历月份,,$(month_ln),$(month_ln)
农历日,,$(day_ln),$(day_ln)
